place,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1991,1981,1970,1960,1950,1940,1930,1920,1910,1900,1897,1887,1877,1860,1857,1842
"07 Balears, Illes",1197261,1176659,1173008,1171543,1149460,1128908,1115999,1107220,1104479,1103442,1111674,1119439,1113114,1106049,1095426,1072844,1030650,1001062,983131,955045,947361,916968,878627,845630,821820,796483,,760379,745944,685088,558287,443327,422089,407497,365512,338894,326023,311649,309807,313480,291934,269818,262893,228590
07002 Alaior,9748,9606,9477,9467,9065,9012,9097,8959,8997,9162,9769,9610,9600,9399,9257,9133,8972,8933,8671,8308,8197,7982,7684,7390,7229,7046,,6705,6406,5706,5328,5016,5130,4788,4968,5111,5005,4933,,,,,,
07001 Alaró,5909,5811,5741,5617,5572,5494,5389,5282,5275,5227,5217,5508,5438,5401,5327,5178,5018,4869,4707,4607,4540,4320,4121,4032,3834,3834,,3840,3601,3250,3656,3710,3801,3895,4238,5925,6033,5976,5823,5876,5325,4879,4588,4112
07003 Alcúdia,21322,20717,20651,20819,20241,19793,19395,19296,19763,19768,20163,19586,19243,19112,19071,18327,17435,16176,15897,15057,14690,13824,12942,12152,11435,10581,,10284,8004,5439,4039,3442,3556,4172,3500,3305,2998,2703,2718,2652,2316,1500,1563,1120
07004 Algaida,6170,6075,5963,5793,5642,5529,5430,5394,5410,5354,5382,5367,5273,5116,5050,4827,4527,4339,4258,4149,3997,3902,3868,3753,3661,3542,,3461,3157,2794,3224,3666,3892,3854,4096,3918,4092,4084,3980,4182,3959,3675,3666,2806
07005 Andratx,11833,11735,11571,11433,11271,11004,10930,10873,11093,10806,10748,12149,11919,11682,11685,11348,10939,10410,9906,9404,9841,9454,9034,8655,8477,8333,,8098,6869,6336,6043,4113,3768,5077,5778,6113,6262,6516,,,,,,
07901 Ariany,963,912,897,902,868,860,854,859,871,903,914,877,883,876,872,839,799,766,750,771,783,782,782,790,774,772,,801,853,,,,,,,,,,6432,6056,6329,5663,5092,4609
07006 Artà,8208,8062,7984,7984,7845,7671,7541,7448,7381,7382,7415,7629,7553,7549,7411,7113,6802,6730,6649,6524,6578,6305,6228,6140,6065,5936,,5971,5671,5620,5459,5401,5481,6005,5779,5870,5689,5831,5812,5893,5143,4634,6225,4001
07007 Banyalbufar,577,566,542,523,515,503,495,522,548,553,583,560,592,593,605,627,591,572,568,570,584,558,534,520,504,503,,520,440,498,511,574,658,738,913,868,744,707,709,631,568,550,533,488
07008 Binissalem,9172,9027,8895,8756,8567,8316,8143,7966,7850,7936,7792,7795,7601,7379,7251,7030,6773,6475,6326,6051,5874,5618,5424,5193,5097,5019,,4885,4676,5017,4267,4147,4091,4231,4205,4134,4128,3930,3819,3870,3617,3273,3182,3027
07009 Búger,1148,1111,1084,1087,1050,1054,1046,1050,1022,1030,1029,1015,1047,1040,1060,1066,1062,1063,1016,993,984,982,946,932,938,951,,926,892,1024,1017,1020,994,1083,1190,1129,1185,1146,1115,1220,1221,1228,1187,1145
07010 Bunyola,7286,7121,7037,6895,6809,6714,6636,6669,6706,6662,6619,6276,6232,6172,6026,5910,5792,5574,5475,5291,5237,5114,4910,4745,4530,4338,,4332,4045,3262,2762,2599,2670,2584,2587,2468,2442,2303,2420,2202,2181,2160,2030,1928
07011 Calvià,53162,52458,51567,51710,50559,49333,49063,49580,50328,50363,52272,51114,52451,51462,51774,50777,47934,45284,43499,42614,42983,40979,38841,37419,35376,32587,,28748,37173,22016,4890,3005,2335,2804,2617,2570,2688,2567,2538,2590,2577,2457,2308,1875
07012 Campanet,2790,2719,2684,2648,2640,2612,2512,2507,2524,2554,2581,2590,2612,2619,2602,2601,2562,2507,2515,2420,2437,2412,2366,2346,2333,2277,,2255,2182,2120,2312,2578,2782,2761,2957,3117,3016,2984,2971,2873,2854,2310,2329,2144
07013 Campos,11763,11618,11425,11283,10862,10610,10418,10164,9892,9765,10144,9964,9862,9784,9601,9294,8759,8296,8122,7898,7625,7330,7132,7074,7040,6944,,6735,6477,6478,6662,6820,6573,6614,6191,5326,4682,4611,4521,4364,3981,3870,4129,3129
07014 Capdepera,12340,12081,12003,12158,11868,11600,11267,11356,11420,11385,11247,11421,11858,11929,11911,11446,10885,11074,10245,9297,9561,9166,8672,8008,7380,6752,,6321,7017,5605,4463,2944,2895,3057,2997,2914,2951,2712,2746,2617,2383,1731,..,1447
"07064 Castell, Es",7670,7525,7530,7572,7434,7348,7343,7455,7635,7661,7956,7962,7990,7926,7892,7724,7629,7475,7440,7066,7022,6948,6681,6504,6260,6005,,5720,5474,3901,2722,2189,2345,2651,2281,2607,3110,2497,,,,,,
07015 Ciutadella de Menorca,31443,30811,30638,30588,29840,29223,28838,28641,29098,29282,29629,29580,29315,29247,29160,28696,28017,27468,26972,26073,25406,24741,23706,22925,22341,21785,,21296,20707,17580,15140,12228,11170,10716,10350,9575,9369,8611,,,,,,
07016 Consell,4304,4230,4243,4125,4053,4008,3962,3869,3862,3859,3834,3861,3789,3677,3515,3413,3252,3045,2877,2727,2586,2494,2403,2327,2254,2210,,2172,2012,2016,1970,1770,1808,1634,1762,,,,,,,,,
07017 Costitx,1490,1446,1379,1329,1288,1271,1247,1246,1205,1183,1192,1159,1133,1116,1078,1023,967,976,1004,986,973,971,931,903,876,849,,824,807,692,749,892,1056,1136,1261,1291,1295,1293,1157,1302,1316,1735,..,..
07018 Deià,675,674,674,630,617,620,637,642,713,768,756,747,752,773,755,754,718,708,708,689,749,731,677,652,644,625,,583,616,559,423,442,461,513,602,627,724,842,,,,,,
07026 Eivissa,51996,50715,50643,51128,49783,49727,49689,49549,49975,49693,50401,49768,49388,49516,48684,46835,44114,42884,42797,40991,40175,37408,34779,33223,32700,31582,,29447,30376,25489,16943,11259,12283,9644,7616,6168,6225,6327,,,,,,
07019 Escorca,194,187,181,208,212,211,217,230,236,241,252,267,284,276,280,276,290,307,293,295,307,312,306,318,308,275,,302,402,244,210,596,359,355,336,328,344,355,373,357,245,299,441,219
07020 Esporles,5236,5182,5134,5113,5062,5020,4942,4959,4922,4940,4991,4915,4956,4900,4808,4696,4640,4546,4457,4363,4322,4197,4082,3993,3875,3811,,3507,2971,2573,2748,2710,2677,2965,3098,2845,3055,2953,2888,2735,2481,2250,2084,1889
07021 Estellencs,359,336,326,327,315,318,305,323,336,344,369,380,402,378,389,388,382,399,386,374,388,376,371,357,343,338,,354,411,381,411,470,473,640,581,581,658,668,676,698,684,665,672,604
07022 Felanitx,18592,18357,18164,18202,17780,17497,17333,17319,17412,17291,17359,18388,18482,18225,18270,17969,17443,16948,16566,16153,16459,16049,15533,15238,14900,14600,,14123,14176,12542,12946,11797,11771,11759,11666,11353,11028,11294,11372,12053,11018,10563,10309,9903
07023 Ferreries,5051,4944,4892,4908,4777,4695,4633,4617,4571,4630,4610,4670,4717,4620,4669,4617,4563,4476,4416,4338,4290,4262,4134,4061,3981,3921,,3828,3652,3038,2502,1998,1853,1577,1543,1635,1545,1315,,,,,,
07024 Formentera,11171,11418,11708,11904,12111,12216,12280,12124,11878,11545,11374,10757,10365,9962,9552,9147,8442,7957,7506,7131,7607,7461,6875,6289,5999,5859,,5353,4760,4209,2965,2671,2657,3392,2929,2508,2298,2258,,,,,,
07025 Fornalutx,717,710,682,679,660,678,663,687,703,704,692,692,698,703,758,732,722,717,698,679,678,656,624,627,590,580,,507,549,511,555,635,534,628,682,655,702,793,865,1022,1110,1087,1072,1104
07027 Inca,34577,34093,33726,33679,33319,32137,31255,30944,30651,30625,31032,30066,29966,29321,29308,29450,28306,27301,26504,25900,25362,24467,23361,22402,21974,21103,,21129,20415,20721,16930,13816,12522,12176,10398,9439,8353,7579,7364,7539,6823,6038,5925,4518
07028 Lloret de Vistalegre,1589,1514,1465,1437,1372,1289,1277,1257,1233,1251,1251,1346,1290,1295,1275,1249,1182,1149,1134,1107,1058,1017,966,933,877,837,,818,813,824,893,917,1062,1066,1197,,,,,,,,,
07029 Lloseta,6378,6312,6250,6122,5988,5858,5799,5710,5639,5686,5680,5674,5703,5750,5704,5655,5493,5375,5295,5180,5119,4909,4736,4630,4523,4529,,4544,4422,4246,3778,2956,2541,2575,2398,2231,2136,1883,1851,1942,1666,1482,1393,1122
07030 Llubí,2438,2392,2385,2298,2273,2243,2206,2157,2176,2216,2324,2294,2299,2302,2265,2202,2128,2042,2030,1967,1955,1964,1931,1909,1883,1893,,1904,1962,2081,2187,2370,2657,2812,2751,2968,2792,2685,2869,2553,2358,2016,1997,..
07031 Llucmajor,39040,38722,38224,37752,36914,36358,35513,35057,34618,34602,37257,36994,36959,36681,36078,35092,33222,31381,29891,28591,27759,26466,24750,23723,22811,21771,,20474,19579,14733,13646,10664,10094,10249,9890,9790,9663,8859,8893,9194,8858,8742,8559,7749
07033 Manacor,46395,45352,44809,44527,43808,42631,41095,40279,40170,40264,41049,40831,40873,40859,40548,39434,37963,37165,35908,35512,34335,33326,31575,30923,30154,30177,,30018,21814,22926,19279,16619,16547,17459,17010,17866,17542,17144,11579,19635,14929,12590,12330,10484
07034 Mancor de la Vall,1639,1596,1569,1528,1509,1455,1449,1383,1321,1309,1321,1330,1324,1285,1199,1146,1074,991,980,947,963,943,924,914,932,936,,903,26021,24153,23278,19224,18956,19060,15721,13033,12436,12408,,,,,,
07032 Maó,29902,29445,29578,29592,29040,28592,28161,28099,28006,28460,28765,28972,28942,29050,29125,28904,28284,27893,27669,26536,26066,25187,23993,23189,22725,22358,,21884,874,833,820,826,998,1124,1262,,,,,,,,,
07035 Maria de la Salut,2336,2273,2242,2245,2227,2143,2159,2073,2113,2114,2140,2152,2204,2187,2150,2161,2095,2141,2118,2043,1990,1975,1861,1819,1800,1733,,1763,1785,1786,2027,2082,2444,2491,2454,2098,1951,1966,,,,,,
07036 Marratxí,39440,38902,38357,37724,37193,36725,36383,36001,35726,35521,35258,34583,34385,33883,33348,32380,31120,29742,28237,27145,25799,23953,22275,20924,19451,18084,,16180,11585,7790,6873,5447,4951,5108,4641,4337,4305,3815,3713,3503,3090,2468,2296,1605
"07037 Mercadal, Es",5939,5676,5444,5316,5038,4788,4788,5098,5091,5176,5425,5396,5408,5398,5292,5134,4838,4504,4255,3844,3654,3532,3268,3104,2896,2723,,2572,2601,3029,2913,2821,3297,3561,3242,3288,3395,3076,,,,,,
"07902 Migjorn Gran, Es",1563,1507,1500,1463,1405,1370,1356,1419,1429,1470,1520,1539,1526,1539,1523,1522,1518,1503,1409,1300,1216,1226,1204,1148,1136,1126,,1076,1051,,,,,,,,,,,,,,,
07038 Montuïri,3144,3119,3087,2987,2912,2867,2836,2884,2850,2888,2838,2855,2872,2817,2827,2749,2619,2576,2594,2510,2521,2510,2406,2317,2250,2235,,2190,2045,2191,2546,2710,2873,2943,2966,2857,2973,2727,2673,2750,2584,2108,2085,2041
07039 Muro,7825,7667,7515,7394,7085,6931,6829,6729,6723,6808,6977,6963,6970,7001,7144,7058,6741,6717,6610,6487,6572,6478,6359,6340,6174,6028,,6060,5934,5972,5944,5829,5989,5740,5651,4990,4627,4557,4594,4517,3919,3462,3369,3059
07040 Palma,423350,415940,419366,422587,416065,409661,406492,402949,400578,399093,398162,407648,405318,404681,401270,396570,383107,375048,375773,368974,367277,358462,346720,333925,326993,319181,,304250,308616,304422,234098,159084,136814,114405,88262,77418,67544,63937,62626,61052,59159,53019,51871,40892
07041 Petra,3118,3067,3028,2942,2860,2825,2794,2774,2816,2812,2806,2908,2919,2928,2886,2856,2787,2744,2707,2643,2697,2662,2634,2600,2566,2571,,2592,2629,3658,3967,4230,4774,4855,4981,4564,4375,3957,3974,3977,3642,3059,2994,1673
"07044 Pobla, Sa",14164,14005,13873,13764,13475,13026,12793,12714,12694,12709,12901,12871,12881,12831,12766,12455,12141,12122,11767,11442,11446,11103,10736,10347,10188,10064,,10213,10052,10016,9923,9931,10217,10147,8813,7851,6894,5999,,,,,,
07042 Pollença,17279,17126,16969,16658,16283,16189,16157,16222,16115,16088,16200,16191,16114,16981,17260,16997,16570,16398,15987,15513,15566,15074,14647,14358,13976,13450,,12945,11256,11617,9963,8975,8552,8984,8771,8174,8450,8308,8198,9072,8547,7451,7486,6422
07043 Porreres,5741,5645,5624,5576,5502,5339,5256,5197,5267,5369,5496,5486,5544,5531,5428,5272,5052,4848,4597,4519,4568,4450,4363,4283,4261,4226,,4217,4335,4930,4650,5068,5303,5294,5457,4872,4917,4907,4974,5290,4934,4660,4595,4066
07045 Puigpunyent,2055,2075,2057,2044,2012,1967,1997,2021,2018,2016,2010,1886,1970,1938,1867,1763,1702,1631,1513,1446,1477,1399,1314,1249,1223,1163,,1084,1153,1022,1005,1032,1160,1333,1599,1561,1804,1669,1646,1596,1579,1517,1518,..
"07059 Salines, Ses",5044,5039,5010,5096,4960,4877,4860,4895,5018,5050,5273,5227,5272,5234,5270,5049,4755,4502,4290,4151,4116,3930,3478,3528,3370,3240,,3009,3009,2537,2233,2021,1886,1691,1510,,,,,,,,,
07046 Sant Antoni de Portmany,28237,27431,27205,27033,26306,25779,25290,24478,23631,23359,23314,22446,22299,22136,21852,21082,19889,19673,18366,17407,17261,16742,16209,15775,15339,14849,,14292,14663,12331,9537,5635,5597,5377,5014,4701,4550,4263,,,,,,
07049 Sant Joan,2195,2179,2185,2145,2108,2083,2064,2042,2035,2030,1973,2047,1985,1958,1962,1956,1866,1853,1847,1821,1803,1737,1691,1686,1683,1662,,1655,1661,1964,2040,2168,2321,2288,2324,2555,2421,2431,,,,,,
07050 Sant Joan de Labritja,6838,6703,6635,6576,6397,6200,6139,6070,5872,5668,5677,5506,5351,5477,5541,5468,5198,4975,4838,4611,4673,4620,4401,4194,4063,3943,,3835,3527,3283,3412,5137,5037,5391,4612,4134,4808,4229,,,,,,
07048 Sant Josep de sa Talaia,29506,28813,28299,27732,27413,26496,26133,25849,25674,25362,24498,24691,23688,22871,22171,21304,20136,19224,18382,17385,17076,16083,15190,14428,13729,13364,,11841,9890,6736,5884,5076,5180,5985,5099,4696,4004,3989,,,,,,
07051 Sant Llorenç des Cardassar,9227,9035,8920,8742,8431,8405,8328,8138,8146,8320,7857,8993,8963,8841,8687,8467,8095,7738,7498,7280,7246,6951,6692,6211,5854,5594,,5282,7225,5278,4143,3630,3830,3691,3646,2994,2883,2440,,,,,,
07052 Sant Lluís,7019,6953,6877,6735,6798,6892,6954,7313,7521,7472,7509,7449,7377,7204,6997,6704,6414,6182,5865,5407,5216,4918,4626,4395,4257,4106,,3928,3404,2547,2333,2084,2158,2273,2096,2065,2116,,,,,,,
07053 Santa Eugènia,1843,1771,1724,1641,1561,1671,1653,1636,1638,1652,1723,1702,1640,1595,1663,1562,1489,1439,1420,1384,1358,1328,1265,1228,1143,1114,,1033,921,888,1024,1011,1120,1128,1328,1305,1465,1537,,,,,,
07054 Santa Eulària des Riu,41228,40548,40038,39358,38015,36457,36605,36119,35812,36189,36464,34946,33734,32637,31314,30364,28361,27152,26724,25826,25918,25080,23755,21991,21122,20306,,19452,15545,13098,9299,7395,7385,7564,6305,4777,5041,4748,,,,,,
07055 Santa Margalida,13160,12776,12767,12797,12485,11958,11801,11632,11672,11680,12243,11922,11718,11626,11537,11207,10608,10204,9719,9266,9074,8776,8306,7943,7493,7107,,6789,5241,4994,4128,3961,4342,4218,4216,4033,4053,4159,,,,,,
07056 Santa María del Camí,7552,7483,7507,7486,7375,7167,7062,6832,6685,6591,6500,6473,6270,6176,5992,5672,5497,5323,5175,5103,5074,4998,4937,4740,4672,4558,,4394,3972,3803,3905,3112,2981,3318,3319,2966,3155,3083,,,,,,
07057 Santanyí,12480,12321,12342,12373,12237,12112,11348,11220,11316,11636,11784,13384,13095,12823,12664,12303,11720,11172,10673,10337,10253,10020,9405,8957,8467,7974,,7702,6951,6059,5415,5082,5203,6295,5582,6809,6551,6692,,,,,,
07058 Selva,4289,4243,4126,4080,4014,3981,3869,3864,3890,3858,3869,3798,3697,3620,3515,3370,3313,3203,3205,3112,3096,3055,2975,2983,2909,2918,,2901,2840,2835,3104,3173,3422,3864,4056,5289,4911,4875,4878,5153,4870,4529,4392,3966
07047 Sencelles,3795,3659,3542,3370,3290,3195,3154,3096,3082,3073,3234,3187,3128,3155,3105,3006,2903,2743,2656,2559,2464,2341,2214,2125,2057,1969,,1896,1667,1624,2014,2048,2387,2716,2829,2986,3243,3266,,,,,,
07060 Sineu,4369,4232,4122,4030,3862,3764,3641,3629,3612,3681,3715,3763,3687,3619,3520,3398,3248,3133,3053,2927,2868,2843,2789,2724,2675,2616,,2568,2581,3018,3070,3130,3682,3814,3942,4808,4871,5139,,,,,,
07061 Sóller,13610,13454,13491,13634,13705,14041,13936,13791,13648,13842,14229,14150,14148,14075,13942,13625,13194,12847,12521,12140,12472,12118,11705,11521,11464,11207,,10515,10021,9693,10145,9473,9377,10586,8830,8752,8627,8026,,,,,,
07062 Son Servera,11932,11752,11835,11817,11568,11378,11265,11119,11449,11576,11146,12165,12195,12286,12215,11713,11392,10951,10766,10519,10750,10643,10179,9562,9009,8065,,6872,6002,5180,3371,2431,2576,2973,2806,2725,2624,2777,2739,2704,2454,2214,2050,1968
07063 Valldemossa,2037,2085,2042,2009,1969,1945,1950,2003,2005,2025,2042,2027,2007,2037,1995,1977,1976,1930,1910,1822,1820,1830,1770,1670,1651,1599,,1511,1370,1161,1143,1125,1111,1378,1612,1767,1683,1732,1647,1642,1606,1595,1565,1461
07065 Vilafranca de Bonany,3699,3600,3558,3466,3380,3176,3047,2941,2913,2910,2922,2971,2958,2989,2908,2782,2625,2573,2521,2563,2550,2518,2431,2366,2326,2249,,2190,2136,2209,2450,2342,2670,2292,2199,1254,1121,1094,,,,,,